names
Tupac Shakur
The Notorious B.I.G.
Wu-Tang Clan
Ice Cube
N.W.A
Nas
Snoop Dogg
Outkast
Eazy-E
Method Man
Eminem
Dr. Dre
Mobb Deep
Method Man and Redman
Busta Rhymes
DMX
A Tribe Called Quest
Bone Thugs-N-Harmony
Run–DMC
Nate Dogg
Rakim
André 3000
Cypress Hill
Public Enemy
Ol' Dirty Bastard
Ghostface Killah
LL Cool J
Naughty by Nature
50 Cent
Big Pun
Warren G
Big L
Mos Def
Eric B. & Rakim
KRS-One
Scarface
Beastie Boys
Lauryn Hill
Fugees
Raekwon
Too $hort
Ice-T
Missy Elliott
GZA
Jay-Z
Slick Rick
Gang Starr
RZA
Common
Prodigy
Coolio
Q-Tip
De La Soul
Big Daddy Kane
E-40
Big Boi
MC Ren
Twista
Three 6 Mafia
Kurupt
House of Pain
Tha Dogg Pound
Westside Connection
Onyx
Lil' Kim
Tech N9ne
Fat Joe
DJ Jazzy Jeff & the Fresh Prince
Master P
Digital Underground
Guru
Krayzie Bone
DJ Quik
Sir Mix-a-Lot
B-Real
Juvenile
Queen Latifah
Mos Def & Talib Kweli Are Black Star
Chuck D
Will Smith
Inspectah Deck
The Pharcyde
Biz Markie
Mystikal
Pimp C
The D.O.C.
Kris Kross
Talib Kweli
Luniz
Mase
AZ
Bun B
Kool G Rap
Outlawz
MC Eiht
Wyclef Jean
Pete Rock & CL Smooth
Bell Biv DeVoe
Da Brat
Trick Daddy
Lil Wayne
Lost Boyz
The Lox
Thug Life
Tone-Lōc
Phife Dawg
Cam'ron
Brand Nubian
Rob Base and DJ E-Z Rock
Eightball & MJG
Goodie Mob
Foxy Brown
Kool Moe Dee
Mack 10
M.O.P.
Del tha Funkee Homosapien
Jeru the Damaja
Black Thought
Lords of the Underground
Spice 1
Canibus
Jurassic 5
Souls of Mischief
Killah Priest
Smif-n-Wessun
Bushwick Bill
Special Ed
WC
Chubb Rock
Z-Ro
C-Murder
Silkk the Shocker
Camp Lo
The Coup
Vanilla Ice
The Disposable Heroes of Hiphoprisy
